OBJECTID,GLOBAL,CODE,STATUSOBJECT,JNEXTERN,JNINTERN,JNRVZ,EXTERN_DR_HOOGTE,EXTERN_DR_BREEDTE,INTERN_BERGING_M3,RIOLERINGSGEBIEDID,TYPERGD,GEOMETRY,datakey,metadatakey
180,3A1709BC-5844-4E8B-9447-258BC7C9936E,CUI-CUI-CEN-7,planvorming,ja,nee,ja,9.4,10.0,650.0,04e554e9-001c-47a6-bc25-3f9e0787b6ed  ,Gemengd gerioleerdgebied,POINT (189380.103 415294.964000001 0.0),3A1709BC-5844-4E8B-9447-258BC7C9936E,DF1AA4DA-55C8-46A2-954A-C506D1C262F1
181,F0B2FCA8-59F7-49D8-AF0E-7033329A5EDE,HER-HER-PET-50,planvorming,ja,nee,nee,2.17,2.05,,52eafba0-4d7e-4b71-a258-22cac0abc52b  ,Gescheiden stelsel,POINT (151247.032000002 410028.233 0.0),F0B2FCA8-59F7-49D8-AF0E-7033329A5EDE,DF1AA4DA-55C8-46A2-954A-C506D1C262F1
182,2724D4A8-4E51-452F-A0AB-1A870E19E13E,MIL-MIL-KER-2,planvorming,ja,nee,nee,14.0,2.0,,15197980-5425-4ffc-b502-4797f1b531a3  ,Gemengd gerioleerdgebied,POINT (182619.798999999 410582.019000004 0.0),2724D4A8-4E51-452F-A0AB-1A870E19E13E,DF1AA4DA-55C8-46A2-954A-C506D1C262F1
183,4AF32FE4-E9AC-465D-A38D-E80CA09A8270,CUI-HAP-KER-30,planvorming,ja,nee,nee,11.44,1.2,,9f030a68-93c6-4547-9f9d-fc3eed495574  ,Gemengd gerioleerdgebied,POINT (188259.050999999 411025.526000002 0.0),4AF32FE4-E9AC-465D-A38D-E80CA09A8270,DF1AA4DA-55C8-46A2-954A-C506D1C262F1
184,56AEE724-BDCF-4E91-A499-A8202D66D904,LAA-AAR-BRO-5,planvorming,ja,nee,nee,15.950000000000001,1.0,,5a64027c-9a63-44b7-b11c-db53b03d99b2  ,Gemengd gerioleerdgebied,POINT (171992.877 390679.295000001 0.0),56AEE724-BDCF-4E91-A499-A8202D66D904,DF1AA4DA-55C8-46A2-954A-C506D1C262F1
185,7F6D4235-D1FA-409A-B3AC-244610C203A6,VEG-VEG-LEE-23,planvorming,ja,nee,nee,8.9,8.700000000000001,,4be46410-c328-4b08-95d6-3428cb8977c4  ,Gemengd gerioleerdgebied,POINT (165922.708000001 402485.681000002 0.0),7F6D4235-D1FA-409A-B3AC-244610C203A6,DF1AA4DA-55C8-46A2-954A-C506D1C262F1
186,56CD10C9-BB56-4342-AAF2-DC7AEE4E4ED6,VEG-VEG-VEN-05,planvorming,None,None,None,,,,4ff87103-46ca-4c56-8b36-e996e345491e  ,None,POINT (166920.103999998 404648.054000003 0.0),56CD10C9-BB56-4342-AAF2-DC7AEE4E4ED6,DF1AA4DA-55C8-46A2-954A-C506D1C262F1
187,B64E6655-7AC1-4D3D-A1ED-19EDDD94AE7F,BOX-OVE-IND-4,planvorming,ja,nee,nee,21.01,1.75,,0489a51c-fa72-41bf-8313-cc09b07bf2de  ,Verbeterd gescheiden stelsel,POINT (192993.204 398570.824999999 0.0),B64E6655-7AC1-4D3D-A1ED-19EDDD94AE7F,DF1AA4DA-55C8-46A2-954A-C506D1C262F1
188,88443536-E328-44AF-9DA8-378976D36AD6,HER-HER-RIW-111,planvorming,ja,nee,nee,3.5,1.0,,1e5bc8fa-0b0a-4340-86b3-7f8ca14be96e  ,Verbeterd gescheiden stelsel,POINT (147460.844 413268.568000002 0.0),88443536-E328-44AF-9DA8-378976D36AD6,DF1AA4DA-55C8-46A2-954A-C506D1C262F1
189,E46BA781-03E2-4E02-8A0F-A32EDB713658,HEU-VLI-IND-49,planvorming,ja,nee,nee,1.96,6.0,,69213c58-4c6d-4b9d-b088-86db942e20af  ,Gemengd gerioleerdgebied,POINT (140621.609999999 411754.237 0.0),E46BA781-03E2-4E02-8A0F-A32EDB713658,DF1AA4DA-55C8-46A2-954A-C506D1C262F1
190,59AF3AAB-584B-4F7A-BE3D-3B3071076E78,LIT-LIT-WAR-5,planvorming,ja,nee,nee,3.95,1.4000000000000001,,3df5da34-f462-40f7-9bb5-39a15be5ca02  ,Verbeterd gescheiden stelsel,POINT (157211.458000001 424612.593 0.0),59AF3AAB-584B-4F7A-BE3D-3B3071076E78,DF1AA4DA-55C8-46A2-954A-C506D1C262F1
191,C4EE61A6-6D48-4238-BFA7-AB8702234077,STA-WES-KER-12,planvorming,ja,nee,ja,20.75,1.5,59.0,d3d21a91-4bcd-4303-ba69-fc51ec1b9e17  ,Gemengd gerioleerdgebied,POINT (187820.272999998 399532.647000003 0.0),C4EE61A6-6D48-4238-BFA7-AB8702234077,DF1AA4DA-55C8-46A2-954A-C506D1C262F1
192,2E8D4B33-1460-4949-8960-E9D534CF96BC,MAA-VIN-KOM-9,planvorming,ja,nee,nee,5.1000000000000005,4.0,,3ff7ebf7-d84d-4af0-b0ee-77d0faf8d752  ,Gemengd gerioleerdgebied,POINT (160226.149 413544.761000002 0.0),2E8D4B33-1460-4949-8960-E9D534CF96BC,DF1AA4DA-55C8-46A2-954A-C506D1C262F1
193,62BD1304-CF6D-454E-B0B9-B762C665DF2F,HEU-VLI-HOB-59,planvorming,ja,nee,nee,2.0,1.4000000000000001,,5dd41aaa-7ec8-4815-a179-257233b84d85  ,Verbeterd gescheiden stelsel,POINT (140982.192000002 412489.736000001 0.0),62BD1304-CF6D-454E-B0B9-B762C665DF2F,DF1AA4DA-55C8-46A2-954A-C506D1C262F1
194,38EE5243-583D-49FF-847A-8132712A06C2,LAA-BEE-KOM-8,planvorming,ja,nee,ja,12.72,14.5,796.0,921d5d28-5f45-461e-bcfd-a508defee8bd  ,Gemengd gerioleerdgebied,POINT (171692.515000001 394027.36 0.0),38EE5243-583D-49FF-847A-8132712A06C2,DF1AA4DA-55C8-46A2-954A-C506D1C262F1
195,E11A38F2-6210-44F1-A9F9-73472B7D70A7,HER-HER-NOO-125,planvorming,ja,nee,nee,2.43,5.0,,a6917522-952d-4cb1-af84-a2bc02c3f6a6  ,Gemengd gerioleerdgebied,POINT (150748.778000001 414208.456999999 0.0),E11A38F2-6210-44F1-A9F9-73472B7D70A7,DF1AA4DA-55C8-46A2-954A-C506D1C262F1
196,2BAA0FA6-F8C8-4890-8372-D41C1A8BCD69,HER-ROS-HIR-34,planvorming,ja,nee,nee,2.22,1.6,,f82c4487-328a-4e24-95b3-5ec20ad65eb5  ,Verbeterd gescheiden stelsel,POINT (152134.635000002 412947.125999997 0.0),2BAA0FA6-F8C8-4890-8372-D41C1A8BCD69,DF1AA4DA-55C8-46A2-954A-C506D1C262F1
197,6C3E1442-2DDA-4867-87F4-8F6C9D2D0715,SMI-BER-SCH-16,planvorming,ja,nee,nee,4.5,2.1,,2b20cd2e-7247-49ba-ab15-709defb92afb  ,Verbeterd gescheiden stelsel,POINT (156067.888 410793.388000002 0.0),6C3E1442-2DDA-4867-87F4-8F6C9D2D0715,DF1AA4DA-55C8-46A2-954A-C506D1C262F1
198,B8CF51B1-BB63-40EB-96C9-F81947919CB0,SMI-BER-SCH-18,planvorming,ja,nee,nee,4.5,2.1,,2b20cd2e-7247-49ba-ab15-709defb92afb  ,Verbeterd gescheiden stelsel,POINT (156148.015999999 410643.469 0.0),B8CF51B1-BB63-40EB-96C9-F81947919CB0,DF1AA4DA-55C8-46A2-954A-C506D1C262F1
199,182CAC1D-285A-4B45-A0F1-FA56AE2A85DF,SMI-BER-SCH-19,planvorming,ja,nee,nee,4.5,2.1,,None,Verbeterd gescheiden stelsel,POINT (156169.065000001 410576.928999999 0.0),182CAC1D-285A-4B45-A0F1-FA56AE2A85DF,DF1AA4DA-55C8-46A2-954A-C506D1C262F1
200,3F71922B-5591-416E-84E6-DE137B101884,SMI-BER-SCH-20,planvorming,ja,nee,nee,4.5,4.0,,None,Verbeterd gescheiden stelsel,POINT (156181.261999998 410534.945000004 0.0),3F71922B-5591-416E-84E6-DE137B101884,DF1AA4DA-55C8-46A2-954A-C506D1C262F1
201,36B26D84-30F1-460C-8DC2-5814F204CACD,SMI-BER-SCH-14,planvorming,ja,nee,nee,4.5,3.0,,2b20cd2e-7247-49ba-ab15-709defb92afb  ,Verbeterd gescheiden stelsel,POINT (156199.390999999 410465.304000004 0.0),36B26D84-30F1-460C-8DC2-5814F204CACD,DF1AA4DA-55C8-46A2-954A-C506D1C262F1
202,D881CBEC-FCCE-4294-858D-16A8B45B3E34,SMI-DEN-HUR-24,planvorming,ja,nee,nee,,,,0334eb79-3f66-43b2-a2b4-efe391525b44  ,Gescheiden stelsel,POINT (154247.395 407979.98 0.0),D881CBEC-FCCE-4294-858D-16A8B45B3E34,DF1AA4DA-55C8-46A2-954A-C506D1C262F1
203,BE3C2844-0292-4D7B-B0DB-EEEA43C89819,SMI-DEN-HUR-25,planvorming,ja,nee,nee,,,,0334eb79-3f66-43b2-a2b4-efe391525b44  ,Gescheiden stelsel,POINT (154203.563999999 407886.037000001 0.0),BE3C2844-0292-4D7B-B0DB-EEEA43C89819,DF1AA4DA-55C8-46A2-954A-C506D1C262F1
204,18AD2606-7E16-48F7-8813-C565E032BDD9,SMI-DEN-SCH-23,planvorming,ja,nee,nee,,,,78c80525-e460-481f-af88-150d0f04003c  ,Gescheiden stelsel,POINT (153668.890999999 409143.875000002 0.0),18AD2606-7E16-48F7-8813-C565E032BDD9,DF1AA4DA-55C8-46A2-954A-C506D1C262F1
205,6F61E307-B5BD-436E-96CF-45631A32B55D,SMI-DEN-SCH-22,planvorming,ja,nee,nee,,,,78c80525-e460-481f-af88-150d0f04003c  ,Gescheiden stelsel,POINT (153630.910999998 409216.067000001 0.0),6F61E307-B5BD-436E-96CF-45631A32B55D,DF1AA4DA-55C8-46A2-954A-C506D1C262F1
206,89A7BDAD-A000-435A-B4FA-3A34DD4B6E8D,VEG-ERP-VLA-73,planvorming,ja,nee,nee,10.1,2.0,,11b771b4-90b2-4960-8681-346cfdec3e9f  ,Verbeterd gescheiden stelsel,POINT (169164.592999999 401396.885000003 0.0),89A7BDAD-A000-435A-B4FA-3A34DD4B6E8D,DF1AA4DA-55C8-46A2-954A-C506D1C262F1
207,D9922095-5ABA-452D-8457-68DCD0022A69,VEG-ERP-VLA-72,planvorming,ja,nee,nee,9.950000000000001,1.0,,11b771b4-90b2-4960-8681-346cfdec3e9f  ,Verbeterd gescheiden stelsel,POINT (169104.531 401218.625000001 0.0),D9922095-5ABA-452D-8457-68DCD0022A69,DF1AA4DA-55C8-46A2-954A-C506D1C262F1
