hydroobject_ID,stuw_ID
2084,1
12639,1
39,10
4156,10
585,11
10560,11
2922,12
12373,12
2779,13
11362,13
2564,14
12965,14
12362,15
11744,15
3241,16
12367,16
9723,17
12963,17
2901,18
3074,18
14445,19
12993,19
4772,20
14853,20
5440,21
5445,21
6148,22
12022,22
13855,23
13856,23
5952,24
8019,24
5011,25
7125,25
3110,26
5439,26
5434,27
10368,27
10037,28
10040,28
304,29
5687,29
4750,30
9664,30
5508,31
11908,31
1899,32
12530,32
6277,168
6317,168
954,169
1425,169
9810,170
12687,170
5861,171
11669,171
11251,172
11330,172
3130,173
8834,173
3012,174
13549,174
2837,175
7809,175
2927,176
6737,176
514,177
7204,177
2283,178
5488,178
2837,179
10160,179
4379,180
3685,180
7976,180
11481,181
11488,181
5838,182
5303,182
5918,183
7814,183
4209,184
5272,184
3699,185
9103,185
851,186
11591,186
679,187
7085,187
7789,188
11402,188
417,189
6881,189
6189,125
5984,125
3837,126
6518,126
1361,127
4415,127
5867,128
13009,128
4986,129
10170,129
5923,130
5742,130
5979,131
8104,131
11299,132
11531,132
14571,133
14573,133
119,134
218,134
5665,135
4933,135
1111,136
5395,136
6614,137
5676,137
7219,138
7090,138
592,139
7090,139
591,140
7124,140
6050,141
8335,141
12907,142
12910,142
7083,143
8630,143
4958,144
8072,144
2898,145
11901,145
5135,146
9693,146
8517,146
8518,146
11901,147
12434,147
8872,148
9801,148
434,149
5992,149
410,150
10142,150
4780,151
3646,151
8703,152
8708,152
370,153
7305,153
6235,154
11147,154
5507,155
5684,155
11810,155
6692,156
12738,156
12596,157
12683,157
6967,158
11149,158
7939,159
7483,159
5210,160
8155,160
4752,161
13110,161
2546,162
10267,162
4415,163
10262,163
7270,164
13602,164
611,165
6214,165
11615,166
14242,166
292,167
11164,167
4184,190
5581,190
14574,191
14583,191
5896,192
11617,192
5991,193
6441,193
1028,194
1434,194
6041,195
11520,195
6474,196
8105,196
6313,197
6040,197
4584,198
11183,198
2990,199
4482,199
1595,200
1932,200
5088,201
13483,201
4551,202
4552,202
6104,203
14388,203
5113,204
5211,204
1362,205
9478,205
10210,205
3838,206
3923,206
6824,207
7804,207
6715,208
7721,208
2032,209
3021,209
5576,210
5434,210
3815,211
4124,211
1272,212
3224,212
7949,213
11885,213
14572,214
14624,214
5860,215
12311,215
2027,216
2728,216
4121,217
