index,hydroobject_CODE,endpoint_hydroobject_CODE
1,1182300,1182250
2,1182270,1182250
3,1182280,1182250
5,1184470,1184450
6,1184480,1184450
8,1171115,1171140
9,1171150,1171140
11,1140610,1140600
13,1140650,1140640
14,1140550,1140640
16,1142780,1142770
18,1086830,1086820
21,1084660,1084600
22,1084650,1084600
24,03167,1084660
25,1084710,1084660
27,1060145,1060140
29,1046065,1046060
30,1046059,1046060
32,2340620,2340610
33,2340600,2340610
35,2612990,2612980
36,01426,2612980
37,2612970,2612980
39,1110040,1110030
41,1084340,1084330
42,1084120,1084330
44,1084570,1084560
45,1084460,1084560
47,1081530,1081520
49,1084410,1084400
51,1063150,1063140
53,1081067,1081065
55,1053210,1053180
56,1053220,1053180
58,1054100,1054080
60,1055630,1055550
62,1061425,1061430
63,1061440,1061430
65,1046530,1046527
67,1046700,1046710
68,1046711,1046710
70,1048200,1047260
71,1048190,1047260
73,1035480,1035470
75,1038240,1038230
77,1038250,1038240
79,1030840,1030835
81,1031040,1031030
83,1031060,1031055
85,1031920,1031910
87,1035010,1034500
89,2920785,2920780
90,2920840,2920780
92,2750400,2750370
93,2750390,2750370
95,2750409,2750400
96,2750410,2750400
98,2750480,2750470
100,2751210,2751200
101,2751170,2751200
103,2752090,2752120
104,2752130,2752120
106,2790070,2790060
107,2870759,2790060
109,2790150,2790140
110,2790105,2790140
112,2800680,2800850
113,2800860,2800850
115,2010181,2850030
116,2010200,2850030
118,2611300,2611290
120,2611710,2611720
121,2611730,2611720
123,2612550,2612540
125,2613450,2613440
126,2613425,2613440
128,2531120,2531110
130,2511260,2511280
131,2511290,2511280
133,2530020,2530010
134,2530021,2530010
136,1170181,1170040
138,1180010,1180000
139,1180000,1180309
142,1180520,1180510
143,1180470,1180510
145,1181050,1180990
146,1184835,1180990
148,1181250,1181230
149,1181245,1181230
151,1181775,1181740
152,1181735,1181740
154,1143120,1143110
156,1143510,1143331
158,1143470,1143555
159,1143560,1143555
161,1101055,1101500
162,1101060,1101500
165,1087010,1087005
167,1087890,1080900
168,1080910,1080900
170,1061920,1061910
172,1070730,1070720
174,1071440,1071420
175,1071430,1071420
177,1071660,1071560
178,1071700,1071560
180,1072450,1072440
182,1051340,1051250
183,1051330,1051250
185,1055080,1055070
187,110001,1100150
188,1100160,1100150
190,1041210,1041200
191,1041150,1041200
193,2510680,2510670
195,2510690,2510680
197,2550015,2550010
199,1045390,1045380
201,1014910,1014900
202,1014810,1014900
204,1033620,1033610
206,1033840,1033830
208,1033520,1033860
209,1033870,1033860
211,1034530,1034518
212,1034520,1034518
214,1182240,1182230
215,1184830,1182230
217,1011320,1011310
218,1010820,1011310
219,2510670,2510660
222,1072735,1072730
224,1053130,1053120
226,1053160,1053150
228,1054140,1054130
230,1055430,1055510
231,1055520,1055510
233,1056010,1055990
